Piano	65534,65534,36863,49151,36863,49151,36863,36863,49150,36862,49120,36736,49024,36352,65024,64512
Chromtiq	
Organ	
Guitar	
Bass	
Strings	
Ensemble	
Brass	16,16,48,112,32752,65520,41584,41520,41488,65534,32767,289,4673,8191,8190,4096
Reed	
Flute	0,0,0,0,128,1023,65535,30431,65535,65535,2111,0,0,0,0,0
Syn.Lead	
SynthPad	
Sy.SndFX	
Ethnic	
Percusiv	
Sound FX	
