MSB	PRG	LSB	NME	ELC
121	028	002	FunkGtr2	2
121	028	003	Jazz Man	2
121	029	000	OvrDrvGt	1
121	029	001	Gt.Pinch	2
121	030	000	Dist.Gtr	1
121	030	001	FeedbkGt	2
121	030	002	DstRthmG	2
121	031	000	GtrHarmo	1
121	031	001	GtFeedbk	1
121	032	000	Aco.Bass	1
121	033	000	FngrBass	1
121	033	001	FngrSlap	2
121	034	000	PickBass	1
121	035	000	Fretless	1
121	036	000	SlapBass	1
121	037	000	SlapBas2	1
121	038	000	SynBass1	1
121	038	001	SynBs1Dk	1
121	038	002	AcidBass	1
121	038	003	Clv.Bass	2
121	038	004	Hammer	2
121	039	000	SynBass2	2
121	039	001	DX Bass	2
121	039	002	RubberBa	2
121	039	003	AtkPulse	1
121	040	000	Violin	1
121	040	001	SlwVioln	1
121	041	000	Viola	1
121	042	000	Cello	1
121	043	000	Contrbas	1
121	044	000	Trem.Str	1
121	045	000	Pizz.Str	1
121	046	000	Harp	1
121	046	001	YangChin	2
121	047	000	Timpani	1
121	048	000	Strings1	1
121	048	001	OrcheStr	2
121	048	002	60sStrng	2
121	049	000	Strings2	1
121	050	000	Syn.Str1	2
121	050	001	Syn.Str3	2
121	051	000	Syn.Str2	2
121	052	000	ChoirAah	1
121	052	001	ChoirAh2	2
121	053	000	VoiceOoh	1
121	053	001	VoiceHum	1
121	054	000	SynVoice	1
121	054	001	AnalgVox	1
121	055	000	Orch.Hit	2
121	055	001	BassHit+	2
121	055	002	6th Hit	1
121	055	003	Euro Hit	1
121	056	000	Trumpet	1
121	056	001	SoftDTrp	1
121	057	000	Trombone	1
121	057	001	Trombon2	2
121	057	002	BrtTromb	1
121	058	000	Tuba	1
121	059	000	MutedTrp	1
121	059	001	MuteTrp2	2
121	060	000	FrchHorn	2
121	060	001	FrHorn 2	2
121	061	000	BrasSect	1
121	061	001	BrsSect2	2
121	062	000	SynBrass	2
121	062	001	SynBras3	2
121	062	002	Anal.Brs	2
121	062	003	JumpBras	2
121	063	000	SynBras2	1
121	063	001	SynBras4	2
121	063	002	AnalBrs2	2
121	064	000	SprnoSax	1
121	065	000	Alto Sax	1
121	066	000	TenorSax	1
121	067	000	Bari.Sax	1
121	068	000	Oboe	2
121	069	000	Eng.Horn	1
121	070	000	Bassoon	1
121	071	000	Clarinet	1
121	072	000	Piccolo	1
121	073	000	Flute	1
121	074	000	Recorder	1
121	075	000	PanFlute	1
121	076	000	BotlBlow	2
121	077	000	Shakhchi	2
121	078	000	Whistle	1
121	079	000	Ocarina	1
121	080	000	SquareLd	2
121	080	001	SqrLead2	1
121	080	002	SineLead	1
121	081	000	Saw Lead	2
121	081	001	SawLead2	1
121	081	002	Dr. Lead	2
121	081	003	DoublSaw	2
121	081	004	SeqAnal.	2
121	082	000	CaliopLd	2
121	083	000	Chiff Ld	2
121	084	000	CharanLd	2
121	084	001	WireLead	2
121	085	000	Voice Ld	2
121	086	000	Fifth Ld	2
121	087	000	Bass&Ld	2
121	087	001	SftWhirl	2
121	088	000	NewAgePd	2
121	089	000	Warm Pad	2
121	089	001	Sine Pad	2
121	090	000	PolySyPd	2
121	091	000	ChoirPad	2
121	091	001	Itopia	2
121	092	000	BowedPad	2
121	093	000	MetalPad	2
121	094	000	Halo Pad	2
121	095	000	SweepPad	2
121	096	000	Ice Rain	2
121	097	000	SoundTrk	2
121	098	000	Crystal	2
121	098	001	SynMalet	1
121	099	000	Atmosphr	2
121	100	000	Bright	2
121	101	000	Goblins	2
121	102	000	Echoes	2
121	102	001	EchoBell	2
121	102	002	Echo Pan	2
121	103	000	Sci-Fi	2
121	104	000	Sitar	1
121	104	001	Sitar 2	2
121	105	000	Banjo	1
121	106	000	Shamisen	1
121	107	000	Koto	1
121	107	001	TaishoKn	2
121	108	000	Kalimba	1
121	109	000	Bagpipe	2
121	110	000	Fiddle	1
121	111	000	Shanai	1
121	112	000	TnklBell	2
121	113	000	Agogo	2
121	114	000	SteelDrm	2
121	115	000	Woodblok	1
121	115	001	Castanet	1
121	116	000	Taiko	1
121	116	001	Gr.Cassa	1
121	117	000	MelodTom	2
121	117	001	Mel Tom2	1
121	118	000	Syn Drum	1
121	118	001	Anal.Tom	1
121	118	002	ElecPerc	2
121	119	000	RevCymbl	1
121	120	000	FretNoiz	2
121	120	001	CutNoise	1
121	120	002	Str Slap	1
121	120	003	CutNoiz2	2
121	120	004	DstCutNz	2
121	120	005	B.Slide	2
121	120	006	P.Scrape	1
121	121	000	BrthNoiz	2
121	121	001	Fl.KClik	1
121	122	000	Seashore	2
121	122	001	Shower	1
121	122	002	Thunder	1
121	122	003	Wind	1
121	122	004	Stream	2
121	122	005	Bubble	2
121	123	000	Tweet	2
121	123	001	Dog Woof	1
121	123	002	HorseGlp	1
121	123	003	BirdTwit	1
121	123	004	Kitty	1
121	123	005	Growl	1
121	124	000	Telphone	1
121	124	001	PhonCall	1
121	124	002	DoorSqek	1
121	124	003	DoorSlam	1
121	124	004	ScratchC	1
121	124	005	WindChim	1
121	124	007	Scratch2	2
121	125	000	Helicptr	1
121	125	001	CarStart	1
121	125	002	CarTyreS	1
121	125	003	Car Pass	1
121	125	004	CarCrash	1
121	125	005	Siren	2
121	125	006	Train	1
121	125	007	JetPlane	2
121	125	008	Starship	2
121	125	009	Burst	2
121	125	016	Coaster	2
121	126	000	Applause	1
121	126	001	LaughVox	1
121	126	002	ScreamVx	1
121	126	003	Punch	1
121	126	004	Heart	1
121	126	005	Footstep	1
121	126	006	Applauz2	1
121	127	000	Gunshot	1
121	127	001	MchinGun	1
121	127	002	LaserGun	2
121	127	003	Xplosion	2
