MSB	PRG	LSB	NME
000	000	000	GrandPno
000	001	000	BritePno
000	002	000	EGrndPno
000	003	000	HnkyTonk
000	004	000	ElPiano1
000	005	000	ElPiano2
000	006	000	Hrpschrd
000	007	000	Clvichrd
000	008	000	Celesta
000	009	000	Glocken
000	010	000	MusicBox
000	011	000	Vibrafon
000	012	000	Marimba
000	013	000	Xylophon
000	014	000	TubulBel
000	015	000	Dulcimer
000	016	000	DrawOrgn
000	017	000	PercOrgn
000	018	000	RockOrgn
000	019	000	ChrchOrg
000	020	000	ReedOrgn
000	021	000	Acordion
000	022	000	Harmnica
000	023	000	TangoAcd
000	024	000	NylonGtr
000	025	000	SteelGtr
000	026	000	Jazz Gtr
000	027	000	CleanGtr
000	028	000	MutedGtr
000	029	000	OvrDrvGt
000	030	000	Dist.Gtr
000	031	000	GtrHarmo
000	032	000	Aco.Bass
000	033	000	FngrBass
000	034	000	PickBass
000	035	000	Fretless
000	036	000	SlpBass1
000	037	000	SlpBass2
000	038	000	SynBass1
000	039	000	SynBass2
000	040	000	Violin
000	041	000	Viola
000	042	000	Cello
000	043	000	Contrbas
000	044	000	Trem.Str
000	045	000	Pizz.Str
000	046	000	Harp
000	047	000	Timpani
000	048	000	Strings1
000	049	000	Strings2
000	050	000	Syn.Str1
000	051	000	Syn.Str2
000	052	000	ChoirAah
000	053	000	VoiceOoh
000	054	000	SynVoice
000	055	000	Orch.Hit
000	056	000	Trumpet
000	057	000	Trombone
000	058	000	Tuba
000	059	000	Mute.Trp
000	060	000	FrchHorn
000	061	000	BrasSect
000	062	000	SynBras1
000	063	000	SynBras2
000	064	000	SprnoSax
000	065	000	Alto Sax
000	066	000	TenorSax
000	067	000	Bari.Sax
000	068	000	Oboe
000	069	000	Eng.Horn
000	070	000	Bassoon
000	071	000	Clarinet
000	072	000	Piccolo
000	073	000	Flute
000	074	000	Recorder
000	075	000	PanFlute
000	076	000	BotlBlow
000	077	000	Shakhchi
000	078	000	Whistle
000	079	000	Ocarina
000	080	000	SquareLd
000	081	000	Saw Lead
000	082	000	CaliopLd
000	083	000	Chiff Ld
000	084	000	CharanLd
000	085	000	Voice Ld
000	086	000	Fifth Ld
000	087	000	Bass&Ld
000	088	000	NewAgePd
000	089	000	Warm Pad
000	090	000	PolySyPd
000	091	000	ChoirPad
000	092	000	BowedPad
000	093	000	MetalPad
000	094	000	Halo Pad
000	095	000	SweepPad
000	096	000	Rain
000	097	000	SoundTrk
000	098	000	Crystal
000	099	000	Atmosphr
000	100	000	Bright
000	101	000	Goblins
000	102	000	Echoes
000	103	000	Sci-Fi
000	104	000	Sitar
000	105	000	Banjo
000	106	000	Shamisen
000	107	000	Koto
000	108	000	Kalimba
000	109	000	Bagpipe
000	110	000	Fiddle
000	111	000	Shanai
000	112	000	TnklBell
000	113	000	Agogo
000	114	000	SteelDrm
000	115	000	Woodblok
000	116	000	Taiko
000	117	000	MelodTom
000	118	000	Syn Drum
000	119	000	RevCymbl
000	120	000	FretNoiz
000	121	000	BrthNoiz
000	122	000	Seashore
000	123	000	Tweet
000	124	000	Telphone
000	125	000	Helicptr
000	126	000	Applause
000	127	000	Gunshot
061	000	000	Standard
061	001	000	Room Kit
061	002	000	PowerKit
061	003	000	Electro
061	004	000	AnalogKt
061	005	000	DanceKit
061	006	000	Jazz Kit
061	007	000	BrushKit
061	008	000	Orch.Kit
061	009	000	EthnicKt
061	010	000	KikSnare
061	011	000	SFX Kit
061	012	000	MT-32 Kt
061	013	000	Standrd2
061	014	000	Room 2
061	015	000	Rock 2
061	016	000	Electro2
061	017	000	Analog 2
061	018	000	Jazz 2
061	019	000	Brush 2
061	020	000	Classic2
061	021	000	SFX Kit
061	022	000	SFX 2
061	023	000	K-GM
061	024	000	Power 2
061	025	000	Dance 2
061	026	000	Analog 3
061	027	000	Jazz 3
061	028	000	Brush 3
061	029	000	Orch. 2
061	030	000	Perc Kit
061	031	000	TotalKit
061	032	000	Prod.Kit
061	033	000	KrazyKit
061	034	000	ComboKit
061	035	000	Zulu Kit
061	036	000	ModernKt
081	000	000	Sunrise
081	001	000	Piano16'
081	002	000	AltoBrth
081	003	000	TinyDncr
081	004	000	SpruceGt
081	005	000	VibrBell
081	006	000	CrFadeBa
081	007	000	Strings
081	008	000	PowerSyn
081	009	000	TotalKit
081	010	000	MchinAge
081	011	000	Hot Keys
081	012	000	BrasBand
081	013	000	MaxiTine
081	014	000	Pwr Rock
081	015	000	TablTalk
081	016	000	FngrBass
081	017	000	Lite Vox
081	018	000	ColorPad
081	019	000	Festival
081	020	000	GlideSwp
081	021	000	LastTngo
081	022	000	MagicFlu
081	023	000	Operator
081	024	000	ElectrGt
081	025	000	Gamelan
081	026	000	Zap Bass
081	027	000	Digi.Air
081	028	000	Analgist
081	029	000	MndoTrem
081	030	000	SpaceWng
081	031	000	GospelOr
081	032	000	Trumpet
081	033	000	FreshAir
081	034	000	RockMute
081	035	000	Dustette
081	036	000	PickBass
081	037	000	ChambrEn
081	038	000	Wire Pad
081	039	000	Industry
081	040	000	Neutron
081	041	000	PnoHaven
081	042	000	ShkuBend
081	043	000	BowenWav
081	044	000	Funk Gtr
081	045	000	SplitBel
081	046	000	Slap It
081	047	000	Anal.Pad
081	048	000	Residue
081	049	000	OrchPerc
081	050	000	DreamWld
081	051	000	HrpsiFnk
081	052	000	FlugelHr
081	053	000	Elec.Tap
081	054	000	Harmonic
081	055	000	Africana
081	056	000	TechnoBa
081	057	000	Airways
081	058	000	Busy Boy
081	059	000	Heart
081	060	000	Spectrum
081	061	000	FullPipe
081	062	000	Woodwind
081	063	000	Whirly
081	064	000	Lead Gtr
081	065	000	Isabelle
081	066	000	FatFrett
081	067	000	PoppinPd
081	068	000	SoftHorn
081	069	000	Prod.Kit
081	070	000	In Trees
081	071	000	SantaClv
081	072	000	SforzBrs
081	073	000	Tine Pad
081	074	000	PdlSteel
081	075	000	Log Drum
081	076	000	House Ba
081	077	000	Ambi.Vox
081	078	000	MonoLead
081	079	000	Hackbret
081	080	000	Halifax
081	081	000	DrawOrgn
081	082	000	Fanfare
081	083	000	HardTine
081	084	000	DrGuitar
081	085	000	EtherBel
081	086	000	BassHrmo
081	087	000	Air Vox
081	088	000	Drum Hit
081	089	000	50sSciFi
081	090	000	SteamCld
081	091	000	Bouzouki
081	092	000	BrightBa
081	093	000	DWGS EP
081	094	000	JoyStick
081	095	000	WavCycle
081	096	000	Rap Bass
081	097	000	VoiceOoh
081	098	000	Bright
081	099	000	HarpPlck
081	100	000	Elastic
081	101	000	ExprssPF
081	102	000	PerkySax
081	103	000	CrFadeEP
081	104	000	NylonGtr
081	105	000	JewelBox
081	106	000	WoodnYou
081	107	000	SymphoBr
081	108	000	LeadStab
081	109	000	SpacePet
081	110	000	VS Organ
081	111	000	StBraSec
081	112	000	Methn.EP
081	113	000	ShmiMlet
081	114	000	IceFlake
081	115	000	Chester
081	116	000	RthmJunk
081	117	000	BelShwer
081	118	000	Fisa 8'
081	119	000	TmbFlute
081	120	000	Strummer
081	121	000	Sweep Ba
081	122	000	PanMllet
081	123	000	SteamBrs
081	124	000	PrieDawn
081	125	000	RotaryOr
081	126	000	Horn Ens
081	127	000	SuprTine
