MSB	PRG	LSB	NME
000	060	006	FrHrSolo
000	060	032	FrHorn 2
000	060	037	HornOrch
000	061	000	BrasSect
000	061	003	StBrsSct
000	061	035	Tp&TbSec
000	061	040	BrssSec2
000	061	041	Hi Brass
000	061	042	MelloBrs
000	062	000	SynBras1
000	062	012	QuackBrs
000	062	020	RezSynBr
000	062	024	PolyBras
000	062	027	SynBras3
000	062	032	JumpBras
000	062	040	SyBrsSub
000	062	045	AnVelBr1
000	062	064	AnalBrs1
000	063	000	SynBras2
000	063	018	SoftBras
000	063	040	SynBras4
000	063	041	ChoirBrs
000	063	045	AnVelBr2
000	063	064	AnalBrs2
000	064	000	SprnoSax
000	065	000	Alto Sax
000	065	040	Sax Sect
000	065	043	HyprAlto
000	066	000	TenorSax
000	066	040	BrthTnSx
000	066	041	SoftTenr
000	066	064	TenrSax2
000	067	000	Bari.Sax
000	068	000	Oboe
000	069	000	Eng.Horn
000	070	000	Bassoon
000	071	000	Clarinet
000	072	000	Piccolo
000	073	000	Flute
000	074	000	Recorder
000	075	000	PanFlute
000	076	000	BotlBlow
000	077	000	Shakhchi
000	078	000	Whistle
000	079	000	Ocarina
000	080	000	SquareLd
000	080	006	SquarLd2
000	080	008	LMSquare
000	080	018	HollowSq
000	080	019	Shmoog
000	080	064	MellowSq
000	080	065	SoloSine
000	080	066	SineLead
000	080	067	Pulse Ld
000	081	000	Saw Lead
000	081	006	Saw Ld 2
000	081	008	ThickSaw
000	081	018	DynaSaw
000	081	019	DigiSaw
000	081	020	Big Lead
000	081	024	HeavySyn
000	081	025	WaspySyn
000	081	027	RezzySaw
000	081	032	DoublSaw
000	081	035	Toy Lead
000	081	036	Dim Saw
000	081	040	Pulse Saw
000	081	041	Dr. Lead
000	081	045	VeloLead
000	081	064	Digger
000	081	096	SeqAnal.
000	082	000	CaliopLd
000	082	065	PureLead
000	083	000	Chiff Ld
000	083	064	Rubby
000	083	065	HardSync
000	084	000	CharanLd
000	084	064	DistLead
000	084	065	WireLead
000	084	066	SynPluck
000	085	000	Voice Ld
000	085	024	SynthAah
000	085	064	Vox Lead
000	086	000	Fifth Ld
000	086	035	Big Five
000	087	000	Bass&Ld
000	087	016	Big&Low
000	087	064	Fat&Prky
000	087	065	Soft Wrl
000	088	000	NewAgePd
000	088	064	Fantasy
000	089	000	Warm Pad
000	089	016	ThickPad
000	089	017	Soft Pad
000	089	018	Sine Pad
000	089	064	Horn Pad
000	089	065	RotarStr
000	090	000	PolySyPd
000	090	064	PolyPd80
000	090	065	ClickPad
000	090	066	Anal.Pad
000	090	067	SquarePd
000	091	000	ChoirPad
000	091	064	Heaven
000	091	066	Itopia
000	091	067	CC Pad
000	092	000	BowedPad
000	092	064	Glacier
000	092	065	GlassPad
000	093	000	MetalPad
000	093	064	Tine Pad
000	093	065	Pan Pad
000	094	000	Halo Pad
000	095	000	SweepPad
000	095	020	Shwimmer
000	095	027	Converge
000	095	064	PolarPad
000	095	066	Celstial
000	096	000	Rain
000	096	045	ClaviPad
000	096	064	HrmoRain
000	096	065	AfrcWind
000	096	066	Carib
000	097	000	SoundTrk
000	097	027	Prologue
000	097	064	Ancestrl
000	098	000	Crystal
000	098	012	SynDrCmp
000	098	014	Popcorn
000	098	018	TinyBell
000	098	035	RndGlock
000	098	040	GlockChi
000	098	041	ClearBel
000	098	042	ChorBell
000	098	064	SynMalet
000	098	065	SftCryst
000	098	066	LoudGlok
000	098	067	ChrsBell
000	098	068	VibraBel
000	098	069	DigiBell
000	098	070	AirBells
000	098	071	BellHarp
000	098	072	Gamelmba
000	099	000	Atmosphr
000	099	018	WarmAtms
000	099	019	HollwRls
000	099	040	NylonEP.
000	099	064	NylnHarp
000	099	065	Harp Vox
000	099	066	AtmosPad
000	099	067	Planet
000	100	000	Bright
000	100	064	FantaBel
000	100	096	Smokey
000	101	000	Goblins
000	101	064	GobSynth
000	101	065	Creeper
000	101	066	Ring Pad
000	101	067	Ritual
000	101	068	ToHeaven
000	101	070	Night
000	101	071	Glisten
000	101	096	BelChoir
000	102	000	Echoes
000	102	008	Echoes 2
000	102	014	Echo Pan
000	102	064	EchoBell
000	102	065	Big Pan
000	102	066	SynPiano
000	102	067	Creation
000	102	068	StarDust
000	102	069	Reso&Pan
000	103	000	Sci-Fi
000	103	064	Starz
000	104	000	Sitar
000	104	032	DetSitar
000	104	035	Sitar 2
000	104	096	Tambra
000	104	097	Tamboura
000	105	000	Banjo
000	105	028	MuteBnjo
000	105	096	Rabab
000	105	097	Gopichnt
000	105	098	Oud
000	106	000	Shamisen
000	107	000	Koto
000	107	096	Taisho K
000	107	097	Kanoon
000	108	000	Kalimba
000	109	000	Bagpipe
000	110	000	Fiddle
000	111	000	Shanai
000	111	064	Shanai 2
000	111	096	Pungi
000	111	097	Hichriki
000	112	000	TnklBell
000	112	096	Bonang
000	112	097	Altair
000	112	098	Gamelan
000	112	099	S.Gameln
000	112	100	Rama Cym
000	112	101	AsianBel
000	113	000	Agogo
000	114	000	SteelDrm
000	114	097	GlasPerc
000	114	098	ThaiBell
000	115	000	Woodblok
000	115	096	Castanet
000	116	000	Taiko
000	116	096	Gr.Cassa
000	117	000	MelodTom
000	117	064	Mel Tom2
000	117	065	Real Tom
000	117	066	Rock Tom
000	118	000	Syn Drum
000	118	064	AnalDrum
000	118	065	ElecPerc
000	119	000	RevCymbl
000	120	000	FretNoiz
000	121	000	BrthNoiz
000	122	000	Seashore
000	123	000	Tweet
000	124	000	Telphone
000	125	000	Helicptr
000	126	000	Applause
000	127	000	Gunshot
064	000	000	CutNoise
064	001	000	CutNoiz2
064	002	000	DstCutNz
064	003	000	Str Slap
064	004	000	B.Slide
064	005	000	P.Scrape
064	016	000	Fl.KClik
064	032	000	Shower
064	033	000	Thunder
064	034	000	Wind
064	035	000	Stream
064	036	000	Bubble
064	037	000	Feed
064	048	000	Dog Woof
064	049	000	HorseNay
064	050	000	BirdTwit
064	054	000	GhostVox
064	055	000	Maou
064	064	000	PhonCall
064	065	000	DoorSqek
064	066	000	DoorSlam
064	067	000	ScratchC
064	068	000	Scratch2
064	069	000	WindChim
064	070	000	TeleFon2
064	080	000	CarStart
064	081	000	CarTyreS
064	082	000	Car Pass
064	083	000	CarCrash
064	084	000	Siren
064	085	000	Train
064	086	000	JetPlane
064	087	000	Starship
064	088	000	Burst
064	089	000	Coaster
064	090	000	Submarin
064	096	000	LaughVox
064	097	000	ScreamVx
064	098	000	Punch
064	099	000	Heart
064	100	000	Footstep
064	112	000	MchinGun
064	113	000	LaserGun
064	114	000	Xplosion
064	115	000	Firework
126	000	000	SFX Kt 1
126	001	000	SFX Kt 2
127	000	000	Standard
127	001	000	Standrd2
127	002	000	Dry Kit
127	003	000	BriteKit
127	008	000	Room Kit
127	009	000	DarkRoom
127	016	000	Rock Kit
127	017	000	RockKit2
127	024	000	Electro
127	025	000	AnalogKt
127	026	000	Anal.Kt2
127	027	000	DanceKit
127	028	000	HipHopKt
127	029	000	JungleKt
127	032	000	Jazz Kit
127	033	000	JazzKit2
127	040	000	BrushKit
127	048	000	Synphony
127	056	000	GS SFXKt
127	127	000	MT-32 Kt
