path	binary
roland.ext.sd.dt.multi.timbre.part1.ccAmplitude	41DE0048121000202f
roland.ext.sd.dt.multi.timbre.part1.ccPitchDepth	41DE00481210002030
roland.ext.sd.dt.multi.timbre.part1.ccFilterDepth	41DE00481210002031
roland.ext.sd.dt.multi.timbre.part1.ccAmplitudeDepth	41DE00481210002032
roland.ext.sd.dt.multi.timbre.part1.scaleTune0	41DE00481210002033
roland.ext.sd.dt.multi.timbre.part1.scaleTune1	41DE00481210002034
roland.ext.sd.dt.multi.timbre.part1.scaleTune2	41DE00481210002035
roland.ext.sd.dt.multi.timbre.part1.scaleTune3	41DE00481210002036
roland.ext.sd.dt.multi.timbre.part1.scaleTune4	41DE00481210002037
roland.ext.sd.dt.multi.timbre.part1.scaleTune5	41DE00481210002038
roland.ext.sd.dt.multi.timbre.part1.scaleTune6	41DE00481210002039
roland.ext.sd.dt.multi.timbre.part1.scaleTune7	41DE0048121000203a
roland.ext.sd.dt.multi.timbre.part1.scaleTune8	41DE0048121000203b
roland.ext.sd.dt.multi.timbre.part1.scaleTune9	41DE0048121000203c
roland.ext.sd.dt.multi.timbre.part1.scaleTune10	41DE0048121000203d
roland.ext.sd.dt.multi.timbre.part1.scaleTune11	41DE0048121000203e
roland.ext.sd.dt.multi.timbre.part1.sdGm2Set	41DE0048121000203f
roland.ext.sd.dt.multi.timbre.part2	41DE004812100021
roland.ext.sd.dt.multi.timbre.part2.rxCh	41DE00481210002100
roland.ext.sd.dt.multi.timbre.part2.rxSwitch	41DE00481210002101
roland.ext.sd.dt.multi.timbre.part2.unknown02	41DE00481210002102
roland.ext.sd.dt.multi.timbre.part2.rxPort	41DE00481210002103
roland.ext.sd.dt.multi.timbre.part2.bankMsb	41DE00481210002104
roland.ext.sd.dt.multi.timbre.part2.bankLsb	41DE00481210002105
roland.ext.sd.dt.multi.timbre.part2.program	41DE00481210002106
roland.ext.sd.dt.multi.timbre.part2.volume	41DE00481210002107
roland.ext.sd.dt.multi.timbre.part2.panpot	41DE00481210002108
roland.ext.sd.dt.multi.timbre.part2.coarseTune	41DE00481210002109
roland.ext.sd.dt.multi.timbre.part2.fineTune	41DE0048121000210a
roland.ext.sd.dt.multi.timbre.part2.monoPoly	41DE0048121000210b
roland.ext.sd.dt.multi.timbre.part2.legato	41DE0048121000210c
roland.ext.sd.dt.multi.timbre.part2.pitchRange	41DE0048121000210d
roland.ext.sd.dt.multi.timbre.part2.portamentoSw	41DE0048121000210e
roland.ext.sd.dt.multi.timbre.part2.portamento	41DE0048121000210f
roland.ext.sd.dt.multi.timbre.part2.portamentoSecondByte	41DE00481210002110
roland.ext.sd.dt.multi.timbre.part2.brightness	41DE00481210002111
roland.ext.sd.dt.multi.timbre.part2.resonance	41DE00481210002112
roland.ext.sd.dt.multi.timbre.part2.attackTime	41DE00481210002113
roland.ext.sd.dt.multi.timbre.part2.releaseTime	41DE00481210002114
roland.ext.sd.dt.multi.timbre.part2.octaveShift	41DE00481210002115
roland.ext.sd.dt.multi.timbre.part2.veloSensitivity	41DE00481210002116
roland.ext.sd.dt.multi.timbre.part2.keyRangeLow	41DE00481210002117
roland.ext.sd.dt.multi.timbre.part2.keyRangeHigh	41DE00481210002118
roland.ext.sd.dt.multi.timbre.part2.keyFadeLow	41DE00481210002119
roland.ext.sd.dt.multi.timbre.part2.keyFadeHigh	41DE0048121000211a
roland.ext.sd.dt.multi.timbre.part2.muteSwitch	41DE0048121000211b
roland.ext.sd.dt.multi.timbre.part2.dry	41DE0048121000211c
roland.ext.sd.dt.multi.timbre.part2.chorus	41DE0048121000211d
roland.ext.sd.dt.multi.timbre.part2.reverb	41DE0048121000211e
roland.ext.sd.dt.multi.timbre.part2.outputAssign	41DE0048121000211f
roland.ext.sd.dt.multi.timbre.part2.mfxSlot	41DE00481210002120
roland.ext.sd.dt.multi.timbre.part2.decayTime	41DE00481210002121
roland.ext.sd.dt.multi.timbre.part2.vibratoRate	41DE00481210002122
roland.ext.sd.dt.multi.timbre.part2.vibratoDepth	41DE00481210002123
roland.ext.sd.dt.multi.timbre.part2.vibratoDelay	41DE00481210002124
roland.ext.sd.dt.multi.timbre.part2.modDepth	41DE00481210002125
roland.ext.sd.dt.multi.timbre.part2.patPitch	41DE00481210002126
roland.ext.sd.dt.multi.timbre.part2.patBrightness	41DE00481210002127
roland.ext.sd.dt.multi.timbre.part2.patAmplitude	41DE00481210002128
roland.ext.sd.dt.multi.timbre.part2.patPitchDepth	41DE00481210002129
roland.ext.sd.dt.multi.timbre.part2.patFilterDepth	41DE0048121000212a
