ID	Name
Uprt.Pno	Upright Piano
UprtP. w	Upright Piano w
EuropePf	European Piano
PianoStr	Piano + Strings 1
Pno+Str2	Piano + Strings 2
DreamP.2	Dream Piano 2
EGRhode1	EG + Rhodes 1
EGRhode2	EG + Rhodes 2
Old Uprt	Old Upright Piano
StSoftEP	Stereo Soft EP
ChorusEP	Chorus E. Piano
SilntRho	Silent Rhodes
Dst.EPno	Distorted E. Piano
60sElPno	60s' Electric Piano
MelRhode	Mellow Rhodes
ElPno 2v	Electric Piano 2v
HardFMEP	DX Hard
Hpschrd2	Harpsichord 2
Hpschrd3	Harpsichord 3
CplHapsi	Coupled Harpsichord
Harpsi.w	Harpsichord w
Harpsi.o	Harpsichord o
SynHapsi	Synth Harpsichord
AtkClavi	Attack Clavichord
AtkClv.2	Attack Clavichord 2
Comp Clv	Compression Clavichord
Reso Clv	Resonant Clavichord
PhaseClv	Phase Clavichord
AnaClavi	Analog Clavichord
JP8 Clv1	JP8 Clavichord 1
JP8 Clv2	JP8 Clavichord 2
SyRngClv	Synth Ring Clavi.
SyDstClv	Synth Distorted Clavi.
JP8k Clv	JP8000 Clavichord
PulseClv	Pulse Clavichord
St.MusBx	Stereo Music Box
HardVibr	Hard Vibraphone
Pop Vibr	Pop Vibraphone
ChchBel2	Church Bell 2
TubBel w	Tubular Bell w
12StrGtr	12 String Guitar
MidT.Gtr	Mid Tone Guitar
LPOvrDr2	LP Overdrive 2
Fretles2	Fretless Bass 2
SynBa101	Synth Bass 101
SynBass3	Synth Bass 3
303SqDs2	303 Square Distorted 2
MGBlipBa	MG Blip Bass
SynBass4	Synth Bass 4
SlwTrStr	Slow Tremolo Strings
OrchStr2	Orchestra Strings 2
Syn.Str3	Synth Strings 3
SynBras3	Synth Brass 3
SynBras4	Synth Brass 4
DigiBell	Digital Bells
ElecPerc	Electric Perc 1
CutNoise	Cutting Noise
CutNoiz2	Cutting Noise 2
DstCutNz	Distorted Cutting Noise
Gtr.Fx!!	Guitar FX Menu
BartkPiz	Bartok Pizzicato
Fl.KClik	Flute Key Click
Scratch2	Scratch Split
CarTyreS	Car Tyre Squeal
PercBang	Percussion Bang
RailCros	Rail Crossing
ApplzWav	Applause Waves
VxComeOn	Voice Come On
AcouBass	Acoustic Bass 1
SynBrass	Synth Brass 1
MelloGrP	Mellow Grand Piano
ElecOrgn	Electric Organ 1
ElecOrg2	Electric Organ 2
ElecOrg3	Electric Organ 3
ElecOrg4	Electric Organ 4
Str Sect	String Section 1
StrSect2	String Section 2
StrSect3	String Section 3
Elec.Gtr	Electric Guitar 1
ElecGtr2	Electric Guitar 2
AcouBas2	Acoustic Bass 2
ElecBass	Electric Bass 1
ElecBas2	Electric Bass 2
BrasSec2	Brass Section 2
El.Perc2	Electric Perc 2
