ID	Name
Gtr/BsFx	Gtr/Bs Fx
WackoKit	Wacko Kit
WoodBits	Wood Bits
MetalBit	Metal Bits
HandsKit	Hands Kit
ScrtchKt	ScratchKit
AcsSnare	AcstSnares
StSnares	St. Snares
AllKicks	All Kicks
DanceKik	Dance Kick
EzSnares	EasySnares
CubanKit	Cuban Kit
SynPopKt	SynPopKit
ArabMxKt	Arabic Mix
BlyDance	BellyDance
DanceSnr	DanceSnare
Spec.SFX	SpecialSFX
SynthSFX	Synthetic
BackPdMW	BackPad MW
BobbyBas	Bobby Bass
SinglOsc	Single Osc
British	British Ld
Wave Pan	WavePanner
TrncMelo	TranceMelo
TranceBa	TranceBass
PolyTrnc	PolyTrance
