ID	Name
GrandPno	Piano 1
BritePno	Piano 2
EGrndPno	Piano 3
HnkyTonk	Honky Tonk
ElPiano1	E.Piano 1
ElPiano2	E.Piano 2
Hrpschrd	Harpsicord
Clvichrd	Clavichord
MusicBox	Music Box
Vibrafon	Vibraphone
Xylophon	Xylophone
TubulBel	Tubular
Dulcimer	Dulcimer 1
DrawOrgn	Organ 1
PercOrgn	Organ 2
RockOrgn	Organ 3
ChrchOrg	Church 1
ReedOrgn	Reed Org.1
